,title,topic,link,content
0,الانقطاع المتكرر لمياه الشرب والوضع الفلاحي عموما أهم محاور لقاء رئيس الدولة بوزير الفلاحة,سياسة,http://news.tunisiatv.tn/الانقطاع-المتكرر-لمياه-الشرب-والوضع-الفلاحي-عموما-أهم-محاور-لقاء-رئيس-الدولة-بوزير-الفلاحة/2022/07,"استقبل رئيس الجمهورية قيس سعيّد، ظهر اليوم الإثنين 18 جويلية 2022 بقصر قرطاج، السيّد محمود إلياس حمزة، وزير الفلاحة والموارد المائيّة والصّيد البحري.وأثار رئيس الجمهورية، خلال هذا اللقاء، جملة من المواضيع من بينها، على وجه الخصوص، الانقطاع المستمر لمياه الشرب في عدة مناطق.وشدّد رئيس الدولة على ضرورة اختيار التوقيت الأفضل للقيام بأشغال تقتضي قطع الماء لمدة محدودة، مشيرا إلى أنه من غير المقبول أن يتم قطع الماء، على سبيل المثال، يوم عيد الإضحى بحجة القيام بأشغال تمت برمجتها في وقت سابق ولا تدخل في إطار الأعمال المستعجلة نتيجة عطب طارئ.وتطرق رئيس الجمهورية، أيضا، إلى مسألة جودة المياه التي تختلف بين منطقة وأخرى، ملاحظا أن المياه المعلبة متوفرة أما المياه في شبكات التوزيع فتنقطع بصفة مثيرة تدعو إلى التساؤل عن الأسباب الحقيقية لذلك.واطّلع رئيس الجمهورية، كذلك، على إعادة العمل بمنظومة الجمعيات المائية حتى يتوفر الماء الصالح للشراب لكل المواطنين في كافة مناطق الجمهورية.وفي إطار آخر، أكّد رئيس الدولة على ضرورة التدخل العاجل في واحات النخيل وخاصة بولاية قبلي حيث ينتشر ما يسمى بــ""عنكبوت الغبار"" الذي يهدد لا التمور فقط بل النخلة ذاتها، ودعا إلى محاصرة أماكن انتشار هذه الظاهرة وتوفير الأدوية اللازمة للقضاء عليها."
1,اعادة إنشاء مدرسة ترشيح المعلمين والمدرسة العليا للترشيح أهم محاور لقاء رئيس الدولة بوزيري التربية والتعليم العالي,سياسة,http://news.tunisiatv.tn/اعادة-إنشاء-مدرسة-ترشيح-المعلمين-والمدرسة-العليا-للترشيح-أهم-محاور-لقاء-رئيس-الدولة-بوزيري-التربية,اجتمع رئيس الجمهورية قيس سعيّد، ظهر اليوم الخميس 14 جويلية 2022 بقصر قرطاج، بكل من السيّد فتحي السلاوتي، وزير التربية، والسيّد منصف بوكثير، وزير التعليم العالي والبحث العلمي.وأكّد رئيس الجمهورية، خلال هذا الاجتماع، على أن الثروة التي لا تنضب أبدا هي الثروة البشرية، ولهذا السبب تم إدراج المجلس الأعلى للتربية والتعليم في مشروع الدستور حتى يستعيد التعليم في تونس في كافة مراحله المكانة التي يستحق، وتستعيد الشهادات التونسية قيمتها على المستوى العالمي.ودعا رئيس الجمهورية كلا من وزيري التربية والتعليم العالي والبحث العلمي إلى إعداد مشروع نص لإعادة إنشاء مدرسة ترشيح المعلمين والمدرسة العليا للترشيح، وهما مدرستان كان لهما الأثر الكبير في مستوى التعليم في تونس.وشدّد رئيس الدولة على ضرورة مراجعة جملة من الاختيارات التي أثبتت التجربة فشلها، وعلى ضرورة أن يتم النأي بالتعليم عن السياسة حتى يكون التكوين الذي يتلقاه التلاميذ سدّا منيعا ضد كل أنواع التطرف، فبالعقل السليم يمكن تحصين المجتمع حين يستبطن التلاميذ منذ الصفوف الأولى للتعليم الابتدائي قيم الحرية والعدل والعمل وسائر القيم النبيلة الأخرى كالتآزر والتسامح والشعور العميق بالانتماء لهذا الوطن العزيز.
2, وزير الخارجية يشارك الخميس والجمعة في أشغال المجلس التنفيذي للاتحاد الإفريقي,سياسة,http://news.tunisiatv.tn/وزير-الخارجية-يشارك-الخميس-والجمعة-في-أشغال-المجلس-التنفيذي-للاتحاد-الإفريقي/2022/07/سياسة,"يشارك وزير الشؤون الخارجية والهجرة والتونسيين بالخارج، عثمان الجرندي، في أشغال الدورة العادية الحادية والأربعين للمجلس التنفيذي للاتحاد الإفريقي، التي ستنعقد يومي 14 و 15 جويلية الحالي بلوساكا عاصمة زمبيا، وفق ما جاء في بلاغ للخارجية اليوم الأربعاء.وأضاف ذات المصدر أن اجتماعات المجلس التنفيذي ستبحث ""تطور الأوضاع في القارة واعتماد التقارير الخاصة بمختلف هياكل الاتحاد الإفريقي، لاسيما تقارير اللجان التابعة للمجلس التنفيذي وتقارير اللجان الفنية المتخصصة""، فضلا عن متابعة تفعيل قرارات الدورة السابقة للمجلس التنفيذي ومؤتمر القمّة المنعقدين في فيفري الفارط.وستكون تونس معنية مباشرة، خلال هذه الدورة، ببعض المسائل، حيث سيتمّ بمناسبة انعقاد المجلس التنفيذي تنظيم مراسم التوقيع بين تونس والاتحاد الإفريقي على اتفاقية المقر الخاصة بمركز التميّز الإفريقي للأسواق الشاملة (AIMEC) الذي ستحتضنه تونس، ""وهي خطوة هامة في مسار تركيز هذا الهيكل والتحضير للانطلاق الفعلي لنشاطه""، وفق تعبير بلاغ وزارة الخارجية.وستكون للوزير الجرندي عديد المداخلات، لاسيما بخصوص ""النقاط التي تكتسي أهمية خاصة بالنسبة لتونس""، على غرار الميزانية والمساهمة في صندوق السلم للاتحاد الإفريقي واختيار دولة المقر للوكالة الإفريقية للأدوية والمفاوضات بشأن التمثيلية صلب مجلس السلم والأمن للاتحاد الافريقي، وفق ذات المصدر.وجاء في بلاغ الخارجية أن هذا الاجتماع ""سيكون مناسبة متجددة لإبراز التزام تونس بالعمل الإفريقي المشترك وبمشاريع الاتحاد الإفريقي لتحقيق السلم والرفاه لشعوب القارة"".وأضاف أن هذه الدورة ستكون مناسبة لوزير الشؤون الخارجية لمواصلة لقاءاته واتصالاته بنظرائه الأفارقة، لاسيما في أفق احتضان تونس للدورة الثامنة لندوة طوكيو الدولية للتنمية في إفريقيا والدورة الثامنة عشرة لقمّة الفرنكوفونية.      "
3,رئيس الدولة يتبادل التهاني بعيد الإضحى مع قادة مصر وقطر والجزائر وفلسطين,سياسة,http://news.tunisiatv.tn/رئيس-الدولة-يتبادل-التهاني-بعيد-الإضحى-مع-قادة-مصر-وقطر-والجزائر-وفلسطين/2022/07/سياسة,"تبادل الرئيس قيس سعيد، أمس الجمعة، التهاني بمناسبة عيد الإضحى المبارك، مع عدد من قادة الدول العربية.وفي هذا السياق، أفادت بلاغات إعلامية للرئاسة، بأن رئيس الجمهورية، أجرى مكالمتين هاتفيتين مع كل من ""أخيه الرئيس عبد الفتاح السيسي، رئيس جمهورية مصر العربية الشقيقة""، و""أخيه صاحب السمو الشيخ تميم بن حمد آل ثاني، أمير دولة قطر الشقيقة""، تبادلا خلالها التهاني بمناسبة حلول العيد.كما جرت مكالمة هاتفية، مساء الجمعة، بين ""رئيس الجمهورية، قيس سعيد وأخيه الرئيس عبد المجيد تبون، رئيس الجمهورية الجزائرية الديمقراطية الشعبية الشقيقة، تبادلا فيها التهاني بمناسبة عيد الأضحى المبارك. وتم التأكيد، خلال هذه المكالمة، ""على عمق علاقات الأخوة التي تربط بين البلدين الشقيقين"".إلى ذلك، ""جمعت مكالمة هاتفية رئيس الجمهورية بأخيه الرئيس محمود عباس، رئيس دولة فلسطين الشقيقة""، تبادلا خلالها التهاني بمناسبة حلول عيد الأضحى المبارك. كما تم التأكيد خلال تلك المكالمة على أن ""الحق الفلسطيني لن يضيع أبدا"".وذكّر الرئيس محمود عباس بعودة قيادات فلسطينية من تونس إلى فلسطين، مؤكدا، وفق المصدر، أنه ""يحمل أجمل الذكريات عن الفترة التي قضتها هذه القيادات في تونس""."
4,رئيس الدولة يشدد على ان يتولي رؤساء البعثات الدبلوماسية والقنصلية الاضطلاع بدورهم في تمكين المواطنين من المشاركة في الاستفتاء,سياسة,http://news.tunisiatv.tn/رئيس-الدولة-يشدد-على-ان-يتولي-رؤساء-البعثات-الدبلوماسية-والقنصلية-الاضطلاع-بدورهم-في-تمكين-المواطنين,"شدّد رئيس الجمهورية قيس سعيد لدى لقائه اليوم الاثنين بقصر قرطاج وزير الشؤون الخارجية والهجرة والتونسيين بالخارج عثمان الجرندي، على أن يتولى رؤساء البعثات الدبلوماسية والقنصلية التونسية بالخارج الاضطلاع بدورهم بكلّ حياد في تمكين المواطنين والمواطنات من المشاركة في الاستفتاء.وأكد رئيس الدولة، وفق بلاغ لرئاسة الجمهورية أن "" أي اخلال تترتب عنه مسؤولية عدم تمكين الشعب صاحب السيادة من الإدلاء بموقفه من مشروع الدستور المعروض على الاستفتاء"".على صعيد آخر، جدّد رئيس الدولة دعوته إلى إيجاد حلول فورية للتونسيين والتونسيات وغيرهم من المسافرين باتجاه تونس بالتنسيق مع وزارة النقل."
5,"رئيسة الحكومة في ندوة الولاة: ""الوضع العام بالبلاد يتميز باستقرار نسبي مع تواصل التهديدات الإرهابية""",سياسة,http://news.tunisiatv.tn/رئيسة-الحكومة-في-ندوة-الولاة-الوضع-العام-بالبلاد-يتميز-باستقرار-نسبي-مع-تواصل-التهديدات-الإرهابية,"قالت رئيسة الحكومة، نجلاء بودن رمضان، إن الوضع العام بالبلاد يتميز باستقرار نسبي، مؤكدة ""تواصل التهديدات الإرهابية والكشف عن خلايا ومخططات تستهدف أمن تونس واستقرارها"".وأضافت بودن في كلمة بمناسبة إشرافها اليوم السبت على افتتاح الندوة الدورية الثانية للولاة لسنة 2022، أن تونس مقبلة على محطات هامة، على غرار الاستعداد لحسن تأمين الاستفتاء الدستوري المقرر ليوم 25 جويلية الجاري وموسم الحصاد والموسم الصيفي والسياحي وكذلك المهرجانات الصيفية، مما يستوجب الرفع من مستوى الجاهزية واليقظة ومزيد تضافر جهود جميع الأطراف المتدخلة في التعاطي بكل حنكة مع الاحداث والمستجدات.وجدّدت التأكيد على ضرورة تضافر الجهود من أجل تأمين المسار الانتخابي في جميع مراحله والعمل على توفير كل مقومات النجاح لعمل الهيئة العليا المستقلة للانتخابات وفروعها الجهوية، ملاحظة أن الاستفتاء هو محطة مفصلية في تاريخ البلاد، ""سيعبّر من خلالها الشعب التونسي عن موقفه بكل حرية ويكون له القول الفصل في رسم ملامح تونس المستقبل"".وبعد أن دعت الولاة، إلى مزيد البذل والعطاء في سبيل النهوض بالوضع الاقتصادي بجهاتهم، أشارت رئيسة الحكومة إلى أن المجلس الوطني بالجهات والاقاليم، المزمع إحداثه، بمقتضى مشروع الدستور الجديد موضوع الاستفتاء، ""سيكون أكبر سند لهم للاضطلاع بمهامهم على أحسن وجه ولتحقيق تطلعات أبناء الشعب في كل الجهات"".من جهته قال وزير الداخلية، توفيق شرف الدين إن تونس تعيش وضعا عاما ""يتسم بالاستقرار الملحوظ في كافة أرجاء الوطن، باستثناء بعض التحركات الاجتماعية القطاعية، على خلفية مطالب مهنية أو المطالبة بتفعيل اتفاقيات سابقة والإضراب العام في القطاع العام الذي تم تنفيذه منذ أسبوعين، موضحا أن الوزارة تحرص على التعامل مع كل التحركات والمستجدات في كنف احترام الحقوق الاساسية للمواطنين.ولفت إلى تواتر التهديدات الإرهابية التي تستهدف أمن تونس ورموزها واستقرارها، لا سيما وأن البلاد مقبلة على محطات هامة ودقيقة، على غرار الاستفتاء وانطلاق موسم الحصاد والموسم الصيفي والسياحي والمهرجانات، مثمنا في هذا الصدد ""المجهودات الأمنية في الكشف عن العناصر الإرهابية ومخطاطاتها فضلا عن التصدي الى الجريمة"".يُذكر أنه تم يوم الخميس الماضي نشر مشروع دستور تونس الجديد المعروض على استفتاء 25 جويلية 2022 بالرائد الرسمي للجمهورية التونسية. وقد تمّ تخصيص القسم الثاني من الباب الثالث للوظيفة التشريعية، لمجلس جديد أطلق عليه ""المجلس الوطني للجهات والأقاليم"" ويتكون وفق ما جاء في الفصل 82 من مشروع الدستور، من نواب منتخبين عن الجهات والأقاليم ونصّ الفصل كذلك على أنه لا يمكن الجمع بين عضوية مجلس نواب الشعب وعضوية المجلس الوطني للجهات والأقاليم. ويحجر الجمع بين عضوية المجلس الوطني للجهات والأقاليم وأي نشاط بمقابل أو بدونه وأوضح الفصل 84 أنّه تعرض وجوبا على المجلس الوطني للجهات والأقاليم المشاريع المتعلقة بميزانية الدولة ومخططات التنمية الجهوية والإقليمية والوطنية لضمان التوازن بين الجهات والأقاليم. ولا يمكن المصادقة على قانون المالية ومخططات التنمية إلا بالأغلبية المطلقة لكل من المجلسين"
6,امضاء اتفاقيتي تعاون وشراكة بين وزارات الشؤون الاجتماعية والتربية والنقل والمركز الوطني للإعلامية,سياسة,http://news.tunisiatv.tn/امضاء-اتفاقيتي-تعاون-وشراكة-بين-وزارات-الشؤون-الاجتماعية-والتربية-والنقل-والمركز-الوطني-للإعلامية,وقعت وزارات الشؤون الاجتماعية والتربية والنقل والمركز الوطني للإعلامية، اليوم الخميس، على اتفاقيتي تعاون وشراكة.وتتعلق الاتفاقية الاولى، التي تولى امضاؤها كل من وزير الشؤون الاجتماعية، مالك الزاهي، ووزير التربية، فتحي السلاوتي، والمدير العام للمركز الوطني للإعلامية، فيصل السبوعي، بالتبادل اللامادي للبيانات بين الأطراف الثلاثة.وتهدف هذه الاتفاقية، التي تندرج في إطار تنفيذ الاستراتيجية الوطنية الهادفة إلى رقمنة الخدمات الإدارية لضمان مزيد الشفافية والنجاعة في المشاريع الموجهة للمواطن والمؤسسة، إلى التبادل اللامادي للبيانات بين الوزارتين والتبادل الإلكتروني للوثائق الإدارية والتعاون في مجال تحسين الخدمات المسداة لفائدة المواطن والمؤسسة والتي توفرها كلا الوزارتين والمؤسسات والمنشآت العمومية تحت إشرافها.وتعهد المركز الوطني للإعلامية، بمقتضى، بمهمة توفير منصة للتبادل البيني لربط معطيات الوزارتين والإحاطة الفنية اللازمة لإدماج الخدمات صلب نظم المعلومات وتأمين سلامة المعطيات المتبادلة وتنسيق الأعمال بين الأطراف المعنية.أما الاتفاقية الثانية فقد تولى توقيعها كل من وزير الشؤون الاجتماعية ووزير النقل، ربيع المجيدي، وهي اتفاقية إطارية تتعلق بضبط الإطار العام لإجراءات توفير اشتراكات النقل المدرسي والجامعي لفائدة التلاميذ والطلبة المنتمين للفئات الفقيرة والفئات محدودة الدخل المنتفعة ببرنامج الأمان الاجتماعي.وسيتم بمقتضى هذه الاتفاقية شراء الاشتراكات والجامعية لفائدة التلاميذ والطلبة المنتمين للفئات الفقيرة والفئات محدودة الدخل المنتفعة ببرنامج الأمان الاجتماعي عبر اتفاقيات ثنائية جهوية بين الإدارات الجهوية للشؤون الاجتماعية من جهة والشركات الجهوية للنقل البري أو شركة نقل تونس أو الشركة الوطنية للسكك الحديدية التونسية من جهة أخرى.
7,الطبوبي: اتحاد الشغل يقرر التسجيل في الحملة الانتخابية للاستفتاء,سياسة,http://news.tunisiatv.tn/الطبوبي-اتحاد-الشغل-يقرر-التسجيل-في-الحملة-الانتخابية-للاستفتاء/2022/06/سياسة,"قرر الاتحاد العام التونسي للشغل المشاركة في حملة الاستفتاء حول الدستور الجديد، حسب ما اعلن عنه الاثنين،الامين العام للاتحاد، نور الدين الطبوبي.وقال الطبوبي، خلال نقطة إعلامية انتظمت في اعقاب الهيئة الإدارية الوطنية المنعقدة منذ أمس الاحد بمدينة الحمامات، ""إن الهيئة الإدارية قررت التسجيل في الحملة الانتخابية للاستفتاء المقرر تنظيمه يوم 25 جويلية القادم"".وأضاف الطبوبي إن هيئة إدارية ستنعقد يوم 2 جويلية القادم لتحديد موقف الاتحاد من الدستور الجديد (بنعم او لا) بعد نشره نهاية شهر جوان الجاري والاطلاع على محتواه.وكانت عملية إيداع تصاريح المشاركة في حملة الاستفتاء، قد انطلقت يوم 21 جوان على ان تغلق اليوم الاثنين 27 جوان 2022 على الساعة السادسة مساء، وفق الرزنامة الرسمية للاستفتاء التي أقرتها الهيئة العليا المستقلة للانتخابات، في قرارها المؤرخ في 3 جوان.ويُنتظر أن يبت مجلس الهيئة، في تصاريح المشاركة في حملة الاستفتاء، في أجل أقصاه يوم الثلاثاء 28 جوان، وفق القرار ذاته، على أن يتم تعليق قائمة المشاركين في حملة الاستفتاء بمقر الهيئة ونشرها بموقعها الالكتروني في ذاك الأجل (يوم 28 جوان)، وتقوم الهيئة بإعلام المشاركين، فرديا، بقراراتها، في أجل أقصاه يوم الأربعاء 29 جوان.وسيتم قبول مطالب سحب تصاريح المشاركة في حملة الاستفتاء، في أجل أقصاه 2 جويلية، كما سيتم فتح باب إيداع التصاريح بتحديد الموقف من مشروع النص المعروض على الاستفتاء، يوم الجمعة 1 جويلية ويغلق يوم السبت 2 جويلية 2022."
8,وزير الخارجية يلتقي سفير دولة الكويت بمناسبة انتهاء مهامه,سياسة,http://news.tunisiatv.tn/وزير-الخارجية-يلتقي-سفير-دولة-الكويت-بمناسبة-انتهاء-مهامه/2022/06/سياسة,التقى وزير الشؤون الخارجية والهجرة والتونسيين بالخارج عثمان الجرندي، اليوم الجمعة، سفير دولة الكويت بتونس علي أحمد الظفيري، الذّي أدّى له زيارة توديع بمناسبة انتهاء مهامه.وأكد الجرندي، عمق الروابط الأخويّة العريقة بين تونس والكويت، معربا عن تطلع تونس إلى مزيد الإرتقاء بالتعاون الثنائي إلى مستوى العلاقات الإستراتيجية المتميزة بين البلدين والشعبين الشقيقين.وأعرب الجانبان، عن تطلّعهما إلى عقد الإستحقاقات الثنائية المؤجّلة والعمل المشترك على ضمان دوريتها، والترفيع في وتيرة اللقاءات بين كبار المسؤولين في البلدين، بما يعزز التعاون الثنائي في المجالات الاقتصادية والتنموية والاستثمارية، وكذلك في قطاعات الصّحة والتعليم والسياحة وتكنولوجيات الإتصال.وأبرزا أهمية مواصلة التنسيق والتشاور بين البلدين في مختلف المحافل الإقليمية والدولية، حول أهمّ القضايا والمسائل ذات الاهتمام المشترك، لمجابهة التحدّيات التي تواجهها المنطقة العربية، والتي فرضتها متغيّرات الوضع الإقليمي والدولي.
9,توقيع اتفاقية إطارية للتعاون بين هيئة الانتخابات ووزارة التربية,سياسة,http://news.tunisiatv.tn/توقيع-اتفاقية-إطارية-للتعاون-بين-هيئة-الانتخابات-ووزارة-التربية/2022/06/سياسة,وقّع رئيس الهيئة العليا المستقلة للانتخابات، فاروق بوعسكر، ووزير التربية، فتحي السلاوتي، يوم أمس الأربعاء بمقر الهيئة، على اتفاقية إطارية بين الهيئة والوزارة تضبط جوانب التعاون والتنسيق والشراكة بين الطرفين للإعداد لتنظيم الاستفتاء والانتخابات التشريعية السابقة لأوانها لسنة 2022.وحسب بلاغ للهيئة، ثمّن بوعسكر، بالمناسبة، مستوى التعاون والتنسيق بين الهيئة ووزارة التربية خلال كل الاستحقاقات الانتخابية التي شهدتها تونس منذ سنة 2011، مشيرا إلى أن الوزارة تمثل أحد أهم شركاء الهيئة، وأن التعاون بينهما يتجاوز الأطر الانتخابية ليشمل نشر قيم الديمقراطية في صفوف الناشئة.من جهته، أكد وزير التربية استعداد الوزارة التام لوضع كل إمكانياتها ومؤسساتها التعليمية في كل مناطق الجمهورية تحت تصرف الهيئة، والمساهمة في إنجاح الموعدين الانتخابيين الهامين.   
